POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,Description,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,Loading/Unloading,Detention,KITITEM,U_AssetClass,Customer Type,U_TRINPD
12/31/2019,12/31/2019,12/31/2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
12/31/2019,12/31/2019,12/31/2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/1/2020,1/1/2020,1/1/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/1/2020,1/1/2020,1/1/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/1/2020,1/1/2020,1/1/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/1/2020,1/1/2020,1/1/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/1/2020,1/1/2020,1/1/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/2/2020,1/2/2020,1/2/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/2/2020,1/2/2020,1/2/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/2/2020,1/2/2020,1/2/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/2/2020,1/2/2020,1/2/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/2/2020,1/2/2020,1/2/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/3/2020,1/3/2020,1/3/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/3/2020,1/3/2020,1/3/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/3/2020,1/3/2020,1/3/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/3/2020,1/3/2020,1/3/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/3/2020,1/3/2020,1/3/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/4/2020,1/4/2020,1/4/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/4,11/29/2019,12/10/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/4/2020,1/4/2020,1/4/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/4,11/29/2019,12/10/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/4/2020,1/4/2020,1/4/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/4/2020,1/4/2020,1/4/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,12/10/2019,12/17/2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/6/2020,1/6/2020,1/6/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,UP01,Company India G.Noida-Old,10000237,HCCL,Allot,CompanyOUT,0,Customer Transport,Wedges,A140000009,BW LLDP Wedge(1000 x 130 x 200),310,Nos,370,2019/1879,1/6/2020,1/13/2020,C,Rent,Beverage,Allot,Customer Transport,,,,,Belts & Wedges,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000024,1000x100x25 mm SW,350,Nos,58.15,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000008,1200x100x25 mm SW,350,Nos,66,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000051,175x89x95,200,Nos,29.25,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Consumables,C180000413,SAW BLADE,50,Nos,62,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000011,1000x100x20mm SW,350,Nos,42.41,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/7/2020,1/7/2020,1/7/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Consumables,C180000407,Nails - 90 mm Ring Shank,5,Nos,2625,2019/1448,12/30/2019,1/5/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,,,
1/13/2020,1/13/2020,1/13/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000011,1000x100x20mm SW,500,Nos,42.41,2019/2148,1/13/2020,1/20/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,,,
1/13/2020,1/13/2020,1/13/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Repair,CompanyOUT,1500,Company Transport borne by customer,Wooden Planks,C150000024,1000x100x25 mm SW,500,Nos,58.15,2019/2148,1/13/2020,1/20/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,,,
1/18/2020,1/18/2020,1/18/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,312,Nos,2060,2019/2386,1/18/2020,1/18/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
